# omega0=1, alpha=0.2
# theta0=-0.81, theta_dot0=0.1234
# t_start=0, t_end=100, h=0.0116355
#   t          x(t)                 v(t)       
2.664535991378145e+01 -4.406379581349938e+00 1.424817311117481e+00
2.676171519724776e+01 -4.250417224915668e+00 1.256712301635387e+00
2.687807048071406e+01 -4.113730288621970e+00 1.093705824732523e+00
2.699442576418037e+01 -3.995670909224782e+00 9.365890325615883e-01
2.711078104764667e+01 -3.895545897393888e+00 7.853904551092478e-01
2.722713633111298e+01 -3.812692002817286e+00 6.396010451941261e-01
2.734349161457928e+01 -3.746527458017691e+00 4.983556294607247e-01
2.745984689804559e+01 -3.696585077547410e+00 3.605689941871080e-01
2.757620218151189e+01 -3.662531908243357e+00 2.250322593930860e-01
2.769255746497820e+01 -3.644179563852079e+00 9.047816174846014e-02
2.780891274844450e+01 -3.641488324513541e+00 -4.437553319536428e-02
2.792526803191081e+01 -3.654567024576237e+00 -1.807956137165333e-01
2.804162331537711e+01 -3.683669747491380e+00 -3.200075788369536e-01
2.815797859884342e+01 -3.729189379587968e+00 -4.631661019883276e-01
2.827433388230972e+01 -3.791647101182413e+00 -6.113132735300338e-01
2.839068916577603e+01 -3.871675871665989e+00 -7.653155700598094e-01
2.850704444924233e+01 -3.969994887871644e+00 -9.257701791117166e-01
2.862339973270864e+01 -4.087370934621629e+00 -1.092872120746062e+00
2.873975501617494e+01 -4.224561718573012e+00 -1.266237112809436e+00
2.885611029964125e+01 -4.382236119507317e+00 -1.444683575186600e+00
2.897246558310755e+01 -4.560867532239665e+00 -1.625993114478672e+00
2.908882086657386e+01 -4.760600087416480e+00 -1.806693756640065e+00
2.920517615004016e+01 -4.981094488831179e+00 -1.981941630233155e+00
2.932153143350647e+01 -5.221370733786896e+00 -2.145604288873566e+00
2.943788671697277e+01 -5.479677512756200e+00 -2.290651500650399e+00
2.955424200043908e+01 -5.753428183982469e+00 -2.409910831857019e+00
2.967059728390538e+01 -6.039243898562067e+00 -2.497132169933786e+00
2.978695256737169e+01 -6.333129183403847e+00 -2.548152998967728e+00
2.990330785083799e+01 -6.630773472218500e+00 -2.561839700317317e+00
3.001966313430430e+01 -6.927933259852150e+00 -2.540488820284435e+00
3.013601841777060e+01 -7.220821039372547e+00 -2.489537373536030e+00
3.025237370123691e+01 -7.506423899144039e+00 -2.416679721175893e+00
3.036872898470321e+01 -7.782698540784589e+00 -2.330684461273559e+00
3.048508426816952e+01 -8.048627938885661e+00 -2.240251339571525e+00
3.060143955163582e+01 -8.304159884514243e+00 -2.153152027687263e+00
3.071779483510213e+01 -8.550067059434541e+00 -2.075742573495500e+00
3.083415011856843e+01 -8.787770361069855e+00 -2.012804465710712e+00
3.095050540203474e+01 -9.019157659200165e+00 -1.967604644957317e+00
3.106686068550104e+01 -9.246416466607881e+00 -1.942056430911662e+00
3.118321596896735e+01 -9.471886506138933e+00 -1.936887821878204e+00
3.129957125243365e+01 -9.697929258726782e+00 -1.951758073527539e+00
3.141592653589996e+01 -9.926806629614438e+00 -1.985295829585560e+00
3.153228181936626e+01 -1.016055941341818e+01 -2.035059855634633e+00
3.164863710283257e+01 -1.040087785435253e+01 -2.097449002802336e+00
3.176499238629888e+01 -1.064896119681739e+01 -2.167613938451572e+00
3.188134766976518e+01 -1.090537071551282e+01 -2.239447990371643e+00
3.199770295323149e+01 -1.116989075559128e+01 -2.305749603805126e+00
3.211405823669779e+01 -1.144142281055600e+01 -2.358638547802910e+00
3.223041352016409e+01 -1.171794462767866e+01 -2.390255434191978e+00
3.234676880363040e+01 -1.199656446790337e+01 -2.393676716751569e+00
3.246312408709670e+01 -1.227368602389808e+01 -2.363863037277298e+00
3.257947937056301e+01 -1.254527334962853e+01 -2.298386092568739e+00
3.269583465402931e+01 -1.280717593643883e+01 -2.197706138183472e+00
3.281218993749562e+01 -1.305545457737149e+01 -2.064907937927515e+00
3.292854522096192e+01 -1.328664859744202e+01 -1.904986289511618e+00
3.304490050442823e+01 -1.349794442165232e+01 -1.723908460085673e+00
3.316125578789453e+01 -1.368723466647052e+01 -1.527708944872233e+00
3.327761107136084e+01 -1.385308325784399e+01 -1.321801067966563e+00
3.339396635482714e+01 -1.399462710913841e+01 -1.110577924539739e+00
3.351032163829345e+01 -1.411144744120244e+01 -8.972802311059580e-01
3.362667692175975e+01 -1.420343783416280e+01 -6.840584451481567e-01
3.374303220522606e+01 -1.427068683032118e+01 -4.721481581349808e-01
3.385938748869236e+01 -1.431338428443836e+01 -2.620940884069866e-01
3.397574277215867e+01 -1.433175452427715e+01 -5.398213782163711e-02
3.409209805562497e+01 -1.432601597638040e+01 1.523394585668505e-01
3.420845333909128e+01 -1.429636563982026e+01 3.570540198057596e-01
3.432480862255758e+01 -1.424298681975608e+01 5.601818663714184e-01
3.444116390602389e+01 -1.416607906242387e+01 7.613926994893767e-01
3.455751918949019e+01 -1.406590956087531e+01 9.598248033627507e-01
3.467387447295650e+01 -1.394288480048582e+01 1.153920573127001e+00
3.479022975642280e+01 -1.379763934162465e+01 1.341301566282897e+00
3.490658503988911e+01 -1.363113505254286e+01 1.518721350075647e+00
3.502294032335541e+01 -1.344475894813670e+01 1.682145125072078e+00
3.513929560682172e+01 -1.324040206738820e+01 1.827002420704312e+00
3.525565089028802e+01 -1.302049767113910e+01 1.948633476128810e+00
3.537200617375433e+01 -1.278799744205868e+01 2.042897773830364e+00
3.548836145722063e+01 -1.254627192802907e+01 2.106845657398818e+00
3.560471674068694e+01 -1.229893647275631e+01 2.139299392487032e+00
3.572107202415324e+01 -1.204962276066592e+01 2.141183040988306e+00
3.583742730761955e+01 -1.180173202001659e+01 2.115498755299379e+00
3.595378259108585e+01 -1.155821196395549e+01 2.066952574812229e+00
3.607013787455216e+01 -1.132139282189716e+01 2.001337624853821e+00
3.618649315801846e+01 -1.109290135203955e+01 1.924839039222706e+00
3.630284844148477e+01 -1.087365255669598e+01 1.843415395745364e+00
3.641920372495107e+01 -1.066390384374846e+01 1.762354193083437e+00
3.653555900841738e+01 -1.046334913763942e+01 1.686029043824734e+00
3.665191429188368e+01 -1.027123059633687e+01 1.617832429232185e+00
3.676826957534999e+01 -1.008645045506092e+01 1.560231083077731e+00
3.688462485881630e+01 -9.907672058343721e+00 1.514887634898629e+00
3.700098014228260e+01 -9.733405198131480e+00 1.482802179069923e+00
3.711733542574891e+01 -9.562075438479031e+00 1.464441814628064e+00
3.723369070921521e+01 -9.392080032592167e+00 1.459839363847723e+00
3.735004599268152e+01 -9.221834617241248e+00 1.468652327096054e+00
3.746640127614782e+01 -9.049815495871716e+00 1.490179802556911e+00
3.758275655961413e+01 -8.874602301619172e+00 1.523339777426570e+00
3.769911184308043e+01 -8.694925311951454e+00 1.566613341839967e+00
3.781546712654674e+01 -8.509720652010113e+00 1.617967266762635e+00
3.793182241001304e+01 -8.318194937050523e+00 1.674772761674431e+00
3.804817769347935e+01 -8.119898394913148e+00 1.733745845959671e+00
3.816453297694565e+01 -7.914802117598009e+00 1.790941871583017e+00
3.828088826041196e+01 -7.703371069664649e+00 1.841839694574266e+00
3.839724354387826e+01 -7.486620598869947e+00 1.881544760105237e+00
3.851359882734457e+01 -7.266141801946216e+00 1.905120467479770e+00
3.862995411081087e+01 -7.044081862382073e+00 1.908023349717359e+00
3.874630939427718e+01 -6.823070663757679e+00 1.886577435605962e+00
3.886266467774348e+01 -6.606094475564437e+00 1.838392380572985e+00
3.897901996120979e+01 -6.396329155937623e+00 1.762626265504472e+00
3.909537524467609e+01 -6.196955318033886e+00 1.660026051652550e+00
3.921173052814240e+01 -6.010982429648543e+00 1.532737781985905e+00
3.932808581160870e+01 -5.841106008323731e+00 1.383940884213069e+00
3.944444109507501e+01 -5.689613120528755e+00 1.217400774971920e+00
3.956079637854131e+01 -5.558339812266815e+00 1.037038715838767e+00
3.967715166200762e+01 -5.448673825486143e+00 8.465927819610350e-01
3.979350694547392e+01 -5.361589555593645e+00 6.494053907347600e-01
3.990986222894023e+01 -5.297700217401973e+00 4.483377095361172e-01
4.002621751240653e+01 -5.257313602878321e+00 2.457886722894655e-01
4.014257279587284e+01 -5.240481049704207e+00 4.378726300769928e-02
4.025892807933914e+01 -5.247032929525314e+00 -1.558728909608726e-01
4.037528336280545e+01 -5.276597318796254e+00 -3.514830118795094e-01
4.049163864627175e+01 -5.328601302763982e+00 -5.412744892858345e-01
4.060799392973806e+01 -5.402256711999608e+00 -7.232990401489200e-01
4.072434921320436e+01 -5.496534246593892e+00 -8.953519898457937e-01
4.084070449667067e+01 -5.610132058769765e+00 -1.054956634588138e+00
4.095705978013697e+01 -5.741446843567191e+00 -1.199425125451826e+00
4.107341506360328e+01 -5.888556905045681e+00 -1.326003767922712e+00
4.118977034706958e+01 -6.049226822488841e+00 -1.432096422883064e+00
4.130612563053589e+01 -6.220941498715829e+00 -1.515540056788855e+00
4.142248091400219e+01 -6.400973160237162e+00 -1.574886565200868e+00
